"sus","fam","inf","buil","nei","lng","lat","infFam","infBuil","infNei","invDist","infP"
2187,1980,FALSE,800,4,154,129,0,0,0,0.082479688168395,0.62749800817298
2188,317,FALSE,971,160,191,59,0,0,0,0.0767184332292256,0.518116166277614
2189,11,FALSE,948,43,106,173,0,0,0,0.0941214463746146,0.468207395398562
2190,1497,FALSE,15,42,12,24,0,0,2,0.0915614273420841,0.659581336087557
2191,543,FALSE,388,105,32,20,0,0,0,0.0882029847950071,0.530193735995701
2192,208,FALSE,717,47,132,81,0,1,1,0.0932421119526173,0.612726436225946
2193,1151,FALSE,522,115,128,9,0,0,0,0.0734898402732895,0.656340383029241
2194,1186,FALSE,983,34,25,127,0,0,0,0.093774098715575,0.587003216413902
2195,1221,FALSE,429,151,88,42,0,0,0,0.0822148334486994,0.63915479703546
2196,1104,FALSE,746,2,142,147,0,0,2,0.0828973411524041,0.746947311070735
2197,374,FALSE,229,184,120,10,0,0,0,0.0965464736709721,0.595671640509739
2198,1605,FALSE,169,53,89,56,0,0,0,0.0966015944740857,0.557078730607511
2199,739,FALSE,610,9,185,29,0,0,0,0.0978314611479547,0.490456793053102
2200,1724,FALSE,15,42,12,24,0,0,2,0.078833617503493,0.595843127737319
2201,1780,FALSE,880,54,75,17,0,0,0,0.0871199049055316,0.49920527212616
2202,1184,FALSE,389,35,27,171,0,0,0,0.0718969956765922,0.617039495247896
2203,1742,FALSE,503,173,187,107,0,0,0,0.0786748065769999,0.46544020624599
2204,528,FALSE,345,127,66,32,0,1,1,0.0706694704868862,0.391205536348067
2205,1349,FALSE,93,158,20,150,0,0,0,0.0800474784157392,0.61432135089189
2206,1402,FALSE,912,51,99,27,0,0,0,0.082418758283463,0.434811793463635
2207,1662,FALSE,725,24,109,172,0,0,0,0.0914092463165383,0.558513772066428
2208,1854,FALSE,31,192,162,193,0,0,0,0.0838654531405034,0.641463134272355
2209,199,FALSE,475,60,87,92,0,0,0,0.0935918310748825,0.525749231163966
2210,362,FALSE,926,107,7,160,0,0,3,0.0889864278368168,0.744884447558605
2211,1143,FALSE,28,63,163,75,0,0,0,0.0966015944740857,0.566474677325302
2212,1433,TRUE,141,72,150,34,1,6,6,0.0897588481312538,0.85383956379
2213,409,FALSE,707,197,136,97,0,0,2,0.090910892328356,0.567690132472601
2214,656,FALSE,545,32,127,63,0,1,1,0.0993663816251029,0.604994868727555
2215,1790,FALSE,280,5,2,132,0,0,0,0.0857610035137983,0.510378809501582
2216,422,FALSE,190,69,181,189,0,0,0,0.093774098715575,0.599613611023266
2217,1337,FALSE,901,81,189,61,0,0,0,0.074361140548443,0.553244092612913
2218,1175,FALSE,328,158,20,150,0,0,0,0.0848036827608235,0.595996744045859
2219,659,TRUE,367,112,159,67,7,23,94,0.0780430011313393,0.971781213159494
2220,258,FALSE,161,102,156,8,0,0,0,0.0848036827608235,0.573833241855498
2221,366,FALSE,533,42,12,24,0,0,2,0.0848036827608235,0.70921312110972
2222,1737,FALSE,411,156,129,123,0,0,0,0.0826372286016341,0.632965186634909
2223,1404,FALSE,256,148,192,196,0,0,0,0.0954706870753404,0.626621801453236
2224,1522,FALSE,607,51,99,27,0,0,0,0.0853436088126607,0.456271051165648
2225,911,FALSE,120,103,1,53,0,0,0,0.0926851203356423,0.414720171215689
2226,1262,TRUE,825,39,200,166,6,15,102,0.0876134018789789,0.999936117444306
2227,1623,FALSE,134,29,18,198,0,0,0,0.076012523854172,0.529933210196259
2228,602,TRUE,102,44,11,45,7,12,96,0.0935918310748825,0.999999689096486
2229,418,FALSE,211,139,3,83,0,0,0,0.0904376624704487,0.544594342733634
2230,103,FALSE,840,129,53,133,0,0,0,0.0871468406710222,0.560023159917118
2231,1792,FALSE,482,77,124,121,0,0,0,0.0882029847950071,0.580712487541156
2232,1972,FALSE,46,62,13,164,0,0,0,0.0809113708290593,0.314511823826142
2233,1629,FALSE,352,106,170,134,0,0,0,0.0822148334486994,0.592438219562439
2234,1619,FALSE,846,138,79,26,0,0,0,0.0803312838477477,0.642778530081666
2235,1098,FALSE,432,111,157,28,0,0,0,0.0912255160113496,0.77157842761816
2236,322,FALSE,826,15,112,184,0,0,4,0.0887056243976733,0.48987432488631
2237,1075,FALSE,615,16,160,69,0,0,0,0.0823786273618653,0.641508815120454
2238,1991,TRUE,613,112,159,67,7,31,94,0.122813475940975,0.99999465646274
2239,673,FALSE,777,80,117,49,0,0,0,0.0784429296712943,0.42457355997304
2240,1625,FALSE,574,123,97,90,1,1,1,0.081218710728283,0.692387049898731
2241,1273,FALSE,458,45,105,119,1,1,4,0.0800474784157392,0.64900844873582
2242,357,FALSE,777,80,117,49,0,0,0,0.0809785165152652,0.488603512434033
2243,1306,FALSE,716,58,45,15,0,0,0,0.0883301585578582,0.483803242967698
2244,827,FALSE,980,29,18,198,0,0,0,0.0940732796562552,0.613655469649704
2245,1559,FALSE,536,184,120,10,0,0,0,0.0805221784117377,0.732860963573778
2246,813,FALSE,500,132,40,62,0,0,0,0.0809785165152652,0.511690534345403
2247,1345,FALSE,693,80,117,49,0,0,0,0.0853436088126607,0.547873599953339
2248,561,FALSE,562,172,179,3,0,0,0,0.0720772130130935,0.554312167780052
2249,555,TRUE,111,11,149,44,1,1,1,0.0774871570371913,0.831506212122866
2250,607,FALSE,20,181,164,102,0,0,0,0.0755920840940604,0.502144029783221
2251,805,FALSE,143,70,60,175,0,0,0,0.0606581817872789,0.692351029041201
2252,369,FALSE,121,46,198,94,0,0,0,0.0764796582552082,0.587555357808626
2253,470,FALSE,832,185,153,126,0,0,0,0.0797518713010056,0.467247306447242
2254,1811,FALSE,761,102,156,8,0,0,0,0.0897626956303476,0.647512793048854
2255,1399,FALSE,863,146,184,64,0,0,0,0.0799716815817275,0.602222071704096
2256,1189,FALSE,386,137,61,197,0,0,0,0.0848036827608235,0.507355763923243
2257,440,TRUE,703,85,125,68,6,19,85,0.0838818444748071,0.999999543802298
2258,591,FALSE,717,47,132,81,0,1,1,0.0848036827608235,0.583178222506365
2259,1623,FALSE,134,29,18,198,0,0,0,0.0799716815817275,0.530701640491083
2260,1517,FALSE,634,54,75,17,0,0,0,0.0904376624704487,0.342472076187451
2261,1522,FALSE,607,51,99,27,0,0,0,0.0768275729872483,0.593168685754917
2262,1259,FALSE,724,185,153,126,0,0,0,0.0896152791688296,0.628945437208403
2263,1632,FALSE,48,142,49,118,0,0,0,0.0676280163452542,0.700584721284413
2264,1944,TRUE,453,100,54,104,8,16,89,0.108564508559782,0.938135989132433
2265,645,FALSE,594,152,37,146,0,0,0,0.0834832761573292,0.494814162166412
2266,1710,FALSE,122,150,43,131,0,0,0,0.0848870264568826,0.374851721896828
2267,268,FALSE,6,163,58,149,0,0,2,0.0809840701890192,0.533943936793046
