"sus","fam","inf","buil","nei","lng","lat","infFam","infBuil","infNei","invDist","infP"
438,58,FALSE,11,6,6,6,1,3,29,0.30708218561556,0.711233867962121
439,62,FALSE,30,2,9,9,0,3,3,0.171808142870807,0.395623814264057
440,49,FALSE,19,3,10,5,0,0,0,0.0970420208308609,0.514140797818746
441,12,FALSE,10,10,2,2,0,0,4,0.125878609612025,0.78555422696308
442,84,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.720290297430097
443,5,FALSE,49,10,2,2,0,0,4,0.125878609612025,0.704447667976279
444,87,FALSE,20,10,2,2,1,1,4,0.125878609612025,0.662214460694947
445,41,FALSE,22,4,4,7,0,1,30,0.32024948589206,0.745943210703335
446,75,FALSE,41,10,2,2,1,3,4,0.125878609612025,0.727576690880557
447,47,FALSE,29,1,8,1,0,0,0,0.159340815161557,0.393971979666701
448,40,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.312817518169617
449,32,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.408717332534085
450,13,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.38924221661729
451,33,FALSE,10,10,2,2,0,0,4,0.125878609612025,0.490606672389148
452,80,FALSE,12,9,5,3,0,0,20,0.265058620995596,0.7668767078502
453,41,FALSE,22,4,4,7,0,1,30,0.32024948589206,0.631494019720904
454,28,FALSE,37,6,6,6,4,5,29,0.30708218561556,0.729052306977718
455,64,FALSE,38,3,10,5,0,0,0,0.0970420208308609,0.428813879291251
456,96,FALSE,8,10,2,2,0,0,4,0.125878609612025,0.418322245022548
457,12,FALSE,10,10,2,2,0,0,4,0.125878609612025,0.663536220875134
458,2,FALSE,2,2,9,9,0,0,3,0.171808142870807,0.422397904586973
459,38,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.523006866262862
460,87,FALSE,20,10,2,2,1,1,4,0.125878609612025,0.643221354507372
461,70,FALSE,4,10,2,2,0,0,4,0.125878609612025,0.698086012369176
462,15,TRUE,48,9,5,3,5,5,20,0.265058620995596,0.905246407154737
463,44,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.353910964435815
464,52,FALSE,9,6,6,6,2,4,29,0.30708218561556,0.798189191016288
465,61,FALSE,7,10,2,2,0,0,4,0.125878609612025,0.533692130216499
466,34,TRUE,44,4,4,7,8,13,30,0.32024948589206,0.902055216014604
467,27,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.698798207122458
468,11,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.464894358258696
469,14,FALSE,5,9,5,3,1,4,20,0.265058620995596,0.763345247047072
470,80,FALSE,12,9,5,3,0,0,20,0.265058620995596,0.703065826231918
471,2,FALSE,2,2,9,9,0,0,3,0.171808142870807,0.522919653376542
472,71,FALSE,43,1,8,1,0,0,0,0.159340815161557,0.676282599992733
473,49,FALSE,19,3,10,5,0,0,0,0.0970420208308609,0.503092228042731
474,97,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.504299991475498
475,40,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.594053975107127
476,68,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.652189744887725
477,51,FALSE,5,9,5,3,3,4,20,0.265058620995596,0.629486231777916
478,63,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.69345870798966
479,29,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.474009972651374
480,3,TRUE,45,9,5,3,4,4,20,0.265058620995596,0.851293928703493
481,95,FALSE,17,4,4,7,0,3,30,0.32024948589206,0.489814115307509
482,92,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.52300769115806
483,72,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.556997217981656
484,77,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.4549253521944
485,58,TRUE,11,6,6,6,1,3,29,0.30708218561556,0.845803393523644
486,92,FALSE,15,8,1,8,0,0,0,0.147924792145202,0.598291887152682
487,15,TRUE,48,9,5,3,5,5,20,0.265058620995596,0.823366481175395
488,56,FALSE,49,10,2,2,0,0,4,0.125878609612025,0.74662100320976
489,36,FALSE,14,4,4,7,5,13,30,0.32024948589206,0.709206532939204
490,89,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.593115945305236
491,9,TRUE,21,6,6,6,6,17,29,0.30708218561556,0.95865100775517
492,93,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.426550657054498
493,7,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.499864233990208
494,90,FALSE,42,3,10,5,0,0,0,0.0970420208308609,0.519953439635925
495,61,FALSE,7,10,2,2,0,0,4,0.125878609612025,0.544776677651439
496,83,FALSE,9,6,6,6,2,4,29,0.30708218561556,0.737511479063947
497,91,FALSE,31,5,7,10,0,0,2,0.145205102176674,0.550016352829124
498,89,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.482532128347123
499,44,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.600324248601099
500,32,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.467942986452728
